+-------+--------+
| TOKEN | ST_POS |
+-------+--------+
|   20  |   -1   |
|   0   |   0    |
|   3   |   -1   |
|   23  |   -1   |
|   0   |   0    |
|   9   |   -1   |
|   0   |   1    |
|   2   |   -1   |
|   24  |   -1   |
|   3   |   -1   |
|   27  |   -1   |
|   0   |   3    |
|   16  |   -1   |
|   11  |   -1   |
|   1   |   0    |
|   3   |   -1   |
|   0   |   4    |
|   16  |   -1   |
|   1   |   1    |
|   3   |   -1   |
|   30  |   -1   |
|   5   |   -1   |
|   0   |   0    |
|   10  |   -1   |
|   0   |   1    |
|   6   |   -1   |
|   3   |   -1   |
|   28  |   -1   |
|   4   |   -1   |
+-------+--------+
